scenario,scenario_role,tolerance,policy,controller_policy,theta,kappa,varpi,final_time,initial_h,global_normalized_choi_error,minimum_step_choi_eigenvalue,wall_time_seconds,accepted_steps,direct_accepts,projected_accepts,rotating_accepts,strang_accepts,exact_fallback_accepts,rejected_error,rejected_cp,guard_evaluations,candidate_certifications,component_searches,fallback_steps,precision_escalations,pi_memory_resets,rhs_stage_evaluations,exponential_actions
buffered_projection,buffered disconnected case with direct retention and projection,0.001,guard_buffered_projection,candidate_guard,0.0,0.001,2.0,2.0,0.3,0.0002853084392580805,0.0,1.2971578649999174,5,3,2,0,0,0,0,2,5,5,2,0,0,0,84,0
buffered_direct,buffered case dominated by direct accepted candidates,0.0003,guard_buffered_direct,candidate_guard,0.0,0.001,2.0,2.0,0.3,0.00024668352978356493,-1.1102230246263322e-16,0.3936765230000674,5,5,0,0,0,0,0,0,5,5,0,0,0,0,60,0
near_saddle_projection,near-saddle case exercising component location and projection,0.001,guard_near_saddle,candidate_guard,0.0,0.001,1.65,1.0,1.0,0.00021027592790007218,-1.484084374338407e-29,0.6850056220000624,2,1,1,0,0,0,1,1,2,2,1,0,0,0,48,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,7.453952621055388e-06,-1.1102230250602865e-16,1.3303681759998653,4,0,0,4,0,0,3,4,4,4,0,4,0,2,132,0
