varpi,ratio,absolute_defect
0.9,0.09321216967823177,6.828571565664426e-14
0.9198257080610022,0.145080054945561,1.1191746397761843e-13
0.9396514161220044,0.19579265061390036,1.5929814019505086e-13
0.9594771241830066,0.24508817338571395,2.1060759488600304e-13
0.9793028322440087,0.29275371611886974,2.660293977362595e-13
0.9991285403050109,0.33862240894780915,3.2575083019706287e-13
1.018954248366013,0.382569578382517,3.8996287798856567e-13
1.0387799564270153,0.4245083342579246,4.588602234499987e-13
1.0586056644880175,0.4643849250468989,5.326412377365576e-13
1.0784313725490196,0.5021741158644881,6.115079728630118e-13
1.0982570806100218,0.5378747674321065,6.956661535940396e-13
1.1180827886710238,0.5715057313265265,7.853251691812802e-13
1.137908496732026,0.6031021274005176,8.806980649471267e-13
1.1577342047930284,0.6327120322230511,9.820015337152354e-13
1.1775599128540306,0.6603935809308664,1.089455907087779e-12
1.1973856209150326,0.6862124669921882,1.2032851465694266e-12
1.217211328976035,0.7102398131333765,1.3237168345380711e-12
1.237037037037037,0.7325503803857193,1.450982165062281e-12
1.2568627450980392,0.7532210794795421,1.5853159345655136e-12
1.2766884531590414,0.7723297485425064,1.7269565323370546e-12
1.2965141612200435,0.7899541624036266,1.8761459308897173e-12
1.3163398692810457,0.8061712411371218,2.0331296761642943e-12
1.3361655773420478,0.8210564283490965,2.1981568775807435e-12
1.35599128540305,0.8346832128000111,2.371480197936158e-12
1.3758169934640523,0.8471227700549758,2.5533558431494666e-12
1.3956427015250545,0.8584437038263845,2.7440435518529134e-12
1.4154684095860566,0.8687118694384555,2.943806584830292e-12
1.4352941176470588,0.8779902643586495,3.152911714301962e-12
1.4551198257080609,0.8863389729907807,3.371629213056605e-12
1.4749455337690631,0.893815154910381,3.600232843429793e-12
1.4947712418300654,0.9004730674567976,3.838999846129293e-12
1.5145969498910676,0.9063641150971986,4.088210928907183e-12
1.5344226579520697,0.9115369192668218,4.348150255078724e-12
1.5542483660130717,0.916037403490149,4.6191054318880475e-12
1.574074074074074,0.9199088895215922,4.9013674987206e-12
1.5938997821350762,0.9231922010328981,5.1952309151623915e-12
1.6137254901960785,0.9259257720373273,5.500993548906044e-12
1.6335511982570805,0.928145757795372,5.818956663503633e-12
1.6533769063180828,0.9298861464090268,6.1494249059663426e-12
1.6732026143790848,0.9311788696952364,6.492706294210886e-12
1.693028322440087,0.9320539122461454,6.849112204352799e-12
1.7128540305010893,0.9325394178445872,7.218957357846478e-12
1.7326797385620916,0.9326617926168245,7.602559808472082e-12
1.7525054466230936,0.9324458044785627,8.000240929169224e-12
1.7723311546840956,0.9319146785712089,8.412325398717514e-12
1.792156862745098,0.9310901884987922,8.8391411882639e-12
1.8119825708061001,0.929992743266561,9.281019547696843e-12
1.8318082788671024,0.9286414698939736,9.738294991867341e-12
1.8516339869281047,0.9270542917309217,1.0211305286656782e-11
1.8714596949891067,0.9252480025493315,1.070039143489163e-11
1.8912854030501087,0.92323833651511,1.1205897662104982e-11
1.911111111111111,0.9210400341696803,1.1728171402144941e-11
1.9309368191721132,0.9186669045676797,1.2267563282629852e-11
1.9507625272331155,0.9161318837291299,1.282442711025041e-11
1.9705882352941178,0.9134470895716346,1.3399119855918612e-11
1.9904139433551196,0.9106238734918275,1.3992001639763579e-11
2.010239651416122,0.9076728687661461,1.4603435715974282e-11
2.030065359477124,0.9046040359396583,1.5233788457489047e-11
2.0498910675381263,0.901426705368635,1.588342934053204e-11
2.0697167755991286,0.8981496170782471,1.6552730928996577e-11
2.0895424836601304,0.8947809580915228,1.7242068858675325e-11
2.1093681917211327,0.891328397379785,1.7951821821337468e-11
2.129193899782135,0.8877991185784386,1.8682371548652595e-11
2.149019607843137,0.8841998506053522,1.943410279596167e-11
2.1688453159041394,0.8805368963123276,2.0207403325894806e-11
2.1886710239651417,0.8768161592933861,2.100266389183598e-11
2.2084967320261435,0.8730431689668938,2.1820278221234626e-11
2.2283224400871458,0.8692231040419804,2.2660642998764233e-11
2.248148148148148,0.8653608144733187,2.3524157849327713e-11
2.2679738562091503,0.8614608420021577,2.441122532090985e-11
2.2877995642701525,0.857527439375575,2.532225086727658e-11
2.3076252723311543,0.8535645883302422,2.6257642830521247e-11
2.3274509803921566,0.849576016421591,2.721781242345785e-11
2.347276688453159,0.845565212774144,2.8203173711861085e-11
2.367102396514161,0.8415354428239042,2.921414359655347e-11
2.3869281045751634,0.8374897621191197,3.0251141795339405e-11
2.4067538126361656,0.8334310292414011,3.1314590824786164e-11
2.4265795206971674,0.8293619179051067,3.2404915981851806e-11
2.4464052287581697,0.8252849282890787,3.352254532536027e-11
2.466230936819172,0.8212023976512264,3.466790965732307e-11
2.486056644880174,0.8171165102730882,3.584144250410834e-11
2.5058823529411764,0.8130293067783534,3.704358009745665e-11
2.5257080610021787,0.8089426928663795,3.8274761355343895e-11
2.5455337690631805,0.804858447498988,3.9535427862691124e-11
2.5653594771241828,0.8007782305762456,4.08260238519215e-11
2.585185185185185,0.7967035901345424,4.214699618336405e-11
2.6050108932461873,0.792635969098033,4.349879432550459e-11
2.6248366013071895,0.788576711612419,4.488187033508367e-11
2.6446623093681914,0.7845270689881034,4.629667883704142e-11
2.6644880174291936,0.7804882052779291,4.774367700430962e-11
2.684313725490196,0.7764612025130251,4.922332453745054e-11
2.704139433551198,0.7724470656187026,5.0736083644143054e-11
2.7239651416122004,0.7684467270308776,5.2282419018515695e-11
2.7437908496732026,0.7644610510321269,5.386279782032675e-11
2.7636165577342044,0.7604908378252112,5.547768965399143e-11
2.7834422657952067,0.7565368273607094,5.712756654745625e-11
2.803267973856209,0.7525997029343066,5.88129029309201e-11
2.823093681917211,0.7486800945682452,6.053417561540277e-11
2.8429193899782135,0.7447785821904915,6.229186377116038e-11
2.8627450980392153,0.7408956986242756,6.408644890594792e-11
2.8825708061002175,0.7370319323998329,6.591841484312897e-11
2.90239651416122,0.7331877303993968,6.778824769963225e-11
2.922222222222222,0.7293635003457728,6.969643586375561e-11
2.942047930283224,0.7255596131441496,7.164346997281689e-11
2.961873638344226,0.721776405086176,7.362984289065213e-11
2.9816993464052284,0.718014179924749,7.565604968496054e-11
3.0015250544662306,0.7142732108274111,7.772258760449694e-11
3.021350762527233,0.7105537422157487,7.982995605611119e-11
3.041176470588235,0.706855991497709,8.19786565816348e-11
3.061002178649237,0.7031801506993092,8.416919283461453e-11
3.080827886710239,0.699526388001804,8.640207055689358e-11
3.1006535947712415,0.6958948491899857,8.867779755503926e-11
3.1204793028322437,0.6922856590169388,9.099688367661848e-11
3.140305010893246,0.6886989224902312,9.335984078631996e-11
3.1601307189542482,0.6851347260842136,9.576718274192393e-11
3.17995642701525,0.6815931388828055,9.821942537011878e-11
3.1997821350762523,0.678074213656872,1.0071708644216517e-10
3.2196078431372546,0.6745779878800445,1.0326068564940691e-10
3.239433551198257,0.6711044846865932,1.058507445786295e-10
3.259259259259259,0.6676537137747441,1.0848778668726564e-10
3.279084967320261,0.6642256722586191,1.1117233727844794e-10
3.298910675381263,0.6608203454717849,1.139049234759092e-10
3.3187363834422654,0.6574377077252169,1.1668607419872922e-10
3.3385620915032677,0.654077723022307,1.1951632013592962e-10
3.35838779956427,0.6507403457333919,1.2239619372091544e-10
3.378213507625272,0.6474255212321249,1.253262291057641e-10
3.398039215686274,0.644133186495876,1.283069621353616e-10
3.4178649237472762,0.6408632706722116,1.313389303213864e-10
3.4376906318082785,0.6376156956133874,1.3442267281613956e-10
3.4575163398692808,0.6343903763806673,1.3755873038622336e-10
3.477342047930283,0.6311872217201778,1.4074764538606637e-10
3.497167755991285,0.6280061345119035,1.4398996173129612e-10
3.516993464052287,0.6248470121933368,1.472862248719594e-10
3.5368191721132893,0.6217097471592054,1.5063698176558894e-10
3.5566448801742916,0.6185942271386154,1.540427808501185e-10
3.576470588235294,0.6155003355508755,1.575041720166445e-10
3.596296296296296,0.612427951841186,1.6102170658203545e-10
3.616122004357298,0.6093769517973177,1.6459593726138828e-10
3.6359477124183,0.6063472078483301,1.6822741814033279e-10
3.6557734204793024,0.6033385893463279,1.7191670464718233e-10
3.6755991285403047,0.6003509628321896,1.756643535249328e-10
3.695424836601307,0.5973841922861529,1.7947092280310863e-10
3.7152505446623088,0.5944381393640907,1.8333697176945618e-10
3.735076252723311,0.5915126636202624,1.8726306094148463e-10
3.7549019607843133,0.5886076227172825,1.9124975203785403e-10
3.7747276688453155,0.5857228726240055,1.9529760794961087e-10
3.7945533769063178,0.5828582678019876,1.9940719271127125e-10
3.81437908496732,0.5800136613811473,2.035790714717512e-10
3.834204793028322,0.5771889053252143,2.0781381046514449e-10
3.854030501089324,0.5743838505875203,2.1211197698134822e-10
3.8738562091503264,0.5715983472576577,2.1647413933653504e-10
3.8936819172113286,0.5688322446995002,2.2090086684347372e-10
3.913507625272331,0.5660853916810543,2.253927297816967e-10
3.933333333333333,0.5633576364965818,2.299502993675151e-10
3.953159041394335,0.5606488270814141,2.345741477238813e-10
3.972984749455337,0.5579588111198494,2.3926484785009943e-10
3.9928104575163395,0.555287436146509,2.440229735913822e-10
4.012636165577342,0.5526345496415045,2.4884909960825646e-10
4.032461873638344,0.5499999991197477,2.5374380134581584e-10
4.052287581699346,0.5473836322147223,2.5870765500282004e-10
4.072113289760348,0.5447852967570118,2.637412375006437e-10
4.091938997821351,0.5422048408478688,2.6884512645207085e-10
4.1117647058823525,0.5396421129280917,2.7401990012993696e-10
4.131590413943355,0.5370969618424604,2.792661374356208e-10
4.151416122004357,0.5345692368999718,2.8458441786738027e-10
4.171241830065359,0.5320587879301003,2.8997532148853954e-10
4.191067538126362,0.5295654653352974,2.9543942889552126e-10
4.210893246187363,0.5270891201399344,3.0097732118572627e-10
4.230718954248366,0.5246296040358777,3.0658957992526357e-10
4.250544662309368,0.522186769424882,3.12276787116524e-10
4.27037037037037,0.5197604694579689,3.1803952516560536e-10
4.290196078431372,0.5173505580719592,3.238783768495825e-10
4.310021786492374,0.5149568900233084,3.297939252836253e-10
4.329847494553377,0.5125793209193946,3.3578675388796667e-10
4.349673202614379,0.5102177072473975,3.4185744635471436e-10
4.369498910675381,0.5078719064008962,3.480065866145145e-10
4.389324618736383,0.5055417767043163,3.5423475880305873e-10
4.409150326797385,0.5032271774353375,3.6054254722744316e-10
4.428976034858388,0.5009279688453778,3.6693053633237176e-10
4.44880174291939,0.4986440121782599,3.7339931066620816e-10
4.468627450980392,0.49637516968715656,3.7994945484687726e-10
4.488453159041394,0.4941213046499151,3.865815535276109e-10
4.508278867102396,0.49188228138284684,3.9329619136254505e-10
4.528104575163399,0.48965796525306954,4.0009395297216233e-10
4.5479302832244,0.4874482226894828,4.0697542290858173e-10
4.567755991285403,0.4852529211924533,4.139411856206995e-10
4.587581699346405,0.483071929342283,4.2099182541917313e-10
4.607407407407407,0.48090511680652903,4.2812792644125754e-10
4.627233115468409,0.4787523543462408,4.353500726154862e-10
4.647058823529411,0.4766135138211768,4.426588476261998e-10
4.666884531590414,0.474488468194059,4.500548348779261e-10
4.686710239651416,0.4723770915339221,4.575386174596027e-10
4.7065359477124185,0.4702792590186086,4.651107781086528e-10
4.72636165577342,0.4681948469364625,4.727718991749034e-10
4.746187363834422,0.46612373268726603,4.805225625843566e-10
4.766013071895425,0.46406579478246746,4.883633498028054e-10
4.785838779956427,0.46202091284474156,4.962948417992968e-10
4.805664488017429,0.45998896760692215,5.04317619009447e-10
4.825490196078431,0.4579698409103477,5.124322612985989e-10
4.845315904139433,0.4559634157026544,5.206393479248322e-10
4.865141612200436,0.4539695760350519,5.289394575018193e-10
4.884967320261437,0.45198820705911563,5.373331679615271e-10
4.90479302832244,0.45001919502312426,5.458210565167726e-10
4.924618736383442,0.44806242726797496,5.544036996236188e-10
4.944444444444445,0.44611779222270137,5.630816729436261e-10
4.9642701525054465,0.4441851793996236,5.718555513059445e-10
