varpi,attached_upper,detached_lower,detached_upper
0.0,2.785293563405282,nan,nan
0.0025,2.785293563405282,nan,nan
0.005,2.785293563405282,nan,nan
0.0075,2.785293563405282,nan,nan
0.01,2.785293563405282,nan,nan
0.0125,2.785293563405282,nan,nan
0.015,2.785293563405282,nan,nan
0.0175,2.785293563405282,nan,nan
0.02,2.785293563405282,nan,nan
0.0225,2.785293563405282,nan,nan
0.025,2.785293563405282,nan,nan
0.0275,2.785293563405282,nan,nan
0.03,2.785293563405282,nan,nan
0.0325,2.785293563405282,nan,nan
0.035,2.785293563405282,nan,nan
0.0375,2.785293563405282,nan,nan
0.04,2.785293563405282,nan,nan
0.0425,2.785293563405282,nan,nan
0.045,2.785293563405282,nan,nan
0.0475,2.785293563405282,nan,nan
0.05,2.785293563405282,nan,nan
0.0525,2.785293563405282,nan,nan
0.055,2.785293563405282,nan,nan
0.0575,2.785293563405282,nan,nan
0.06,2.785293563405282,nan,nan
0.0625,2.785293563405282,nan,nan
0.065,2.785293563405282,nan,nan
0.0675,2.785293563405282,nan,nan
0.07,2.785293563405282,nan,nan
0.0725,2.785293563405282,nan,nan
0.075,2.785293563405282,nan,nan
0.0775,2.785293563405282,nan,nan
0.08,2.785293563405282,nan,nan
0.0825,2.785293563405282,nan,nan
0.085,2.785293563405282,nan,nan
0.08750000000000001,2.785293563405282,nan,nan
0.09,2.785293563405282,nan,nan
0.0925,2.785293563405282,nan,nan
0.095,2.785293563405282,nan,nan
0.0975,2.785293563405282,nan,nan
0.1,2.785293563405282,nan,nan
0.10250000000000001,2.785293563405282,nan,nan
0.105,2.785293563405282,nan,nan
0.1075,2.785293563405282,nan,nan
0.11,2.785293563405282,nan,nan
0.1125,2.785293563405282,nan,nan
0.115,2.785293563405282,nan,nan
0.11750000000000001,2.785293563405282,nan,nan
0.12,2.785293563405282,nan,nan
0.1225,2.785293563405282,nan,nan
0.125,2.785293563405282,nan,nan
0.1275,2.785293563405282,nan,nan
0.13,2.785293563405282,nan,nan
0.1325,2.785293563405282,nan,nan
0.135,2.785293563405282,nan,nan
0.1375,2.785293563405282,nan,nan
0.14,2.785293563405282,nan,nan
0.14250000000000002,2.785293563405282,nan,nan
0.145,2.785293563405282,nan,nan
0.1475,2.785293563405282,nan,nan
0.15,2.785293563405282,nan,nan
0.1525,2.785293563405282,nan,nan
0.155,2.785293563405282,nan,nan
0.1575,2.785293563405282,nan,nan
0.16,2.785293563405282,nan,nan
0.1625,2.785293563405282,nan,nan
0.165,2.785293563405282,nan,nan
0.1675,2.785293563405282,nan,nan
0.17,2.785293563405282,nan,nan
0.17250000000000001,2.785293563405282,nan,nan
0.17500000000000002,2.785293563405282,nan,nan
0.1775,2.785293563405282,nan,nan
0.18,2.785293563405282,nan,nan
0.1825,2.785293563405282,nan,nan
0.185,2.785293563405282,nan,nan
0.1875,2.785293563405282,nan,nan
0.19,2.785293563405282,nan,nan
0.1925,2.785293563405282,nan,nan
0.195,2.785293563405282,nan,nan
0.1975,2.785293563405282,nan,nan
0.2,2.785293563405282,nan,nan
0.2025,2.785293563405282,nan,nan
0.20500000000000002,2.785293563405282,nan,nan
0.20750000000000002,2.785293563405282,nan,nan
0.21,2.785293563405282,nan,nan
0.2125,2.785293563405282,nan,nan
0.215,2.785293563405282,nan,nan
0.2175,2.785293563405282,nan,nan
0.22,2.785293563405282,nan,nan
0.2225,2.785293563405282,nan,nan
0.225,2.785293563405282,nan,nan
0.2275,2.785293563405282,nan,nan
0.23,2.785293563405282,nan,nan
0.2325,2.785293563405282,nan,nan
0.23500000000000001,2.785293563405282,nan,nan
0.23750000000000002,2.785293563405282,nan,nan
0.24,2.785293563405282,nan,nan
0.2425,2.785293563405282,nan,nan
0.245,2.785293563405282,nan,nan
0.2475,2.785293563405282,nan,nan
0.25,2.785293563405282,nan,nan
0.2525,2.785293563405282,nan,nan
0.255,2.785293563405282,nan,nan
0.2575,2.785293563405282,nan,nan
0.26,2.785293563405282,nan,nan
0.2625,2.785293563405282,nan,nan
0.265,2.785293563405282,nan,nan
0.2675,2.785293563405282,nan,nan
0.27,2.785293563405282,nan,nan
0.2725,2.785293563405282,nan,nan
0.275,2.785293563405282,nan,nan
0.2775,2.785293563405282,nan,nan
0.28,2.785293563405282,nan,nan
0.28250000000000003,2.785293563405282,nan,nan
0.28500000000000003,2.785293563405282,nan,nan
0.28750000000000003,2.785293563405282,nan,nan
0.29,2.785293563405282,nan,nan
0.2925,2.785293563405282,nan,nan
0.295,2.785293563405282,nan,nan
0.2975,2.785293563405282,nan,nan
0.3,2.785293563405282,nan,nan
0.3025,2.785293563405282,nan,nan
0.305,2.785293563405282,nan,nan
0.3075,2.785293563405282,nan,nan
0.31,2.785293563405282,nan,nan
0.3125,2.785293563405282,nan,nan
0.315,2.785293563405282,nan,nan
0.3175,2.785293563405282,nan,nan
0.32,2.785293563405282,nan,nan
0.3225,2.785293563405282,nan,nan
0.325,2.785293563405282,nan,nan
0.3275,2.785293563405282,nan,nan
0.33,2.785293563405282,nan,nan
0.3325,2.785293563405282,nan,nan
0.335,2.785293563405282,nan,nan
0.3375,2.785293563405282,nan,nan
0.34,2.785293563405282,nan,nan
0.3425,2.785293563405282,nan,nan
0.34500000000000003,2.785293563405282,nan,nan
0.34750000000000003,2.785293563405282,nan,nan
0.35000000000000003,2.785293563405282,nan,nan
0.3525,2.785293563405282,nan,nan
0.355,2.785293563405282,nan,nan
0.3575,2.785293563405282,nan,nan
0.36,2.785293563405282,nan,nan
0.3625,2.785293563405282,nan,nan
0.365,2.785293563405282,nan,nan
0.3675,2.785293563405282,nan,nan
