kappa,theta_critical,double_root_x
0.0,0.037896285472997476,0.561716884769793
7.791584744594822e-05,0.03762890068859576,0.5621394366377147
0.00015583169489189643,0.03736198809259872,0.5625600864945952
0.00023374754233784466,0.037095545320424986,0.5629788586494733
0.00031166338978379286,0.03682957003495452,0.5633957769215299
0.0003895792372297411,0.036564059926002056,0.5638108646536544
0.0004674950846756893,0.03629901270980482,0.5642241447255344
0.0005454109321216376,0.03603442612852389,0.5646356395662889
0.0006233267795675857,0.03577029794975885,0.5650453711666644
0.000701242627013534,0.035506625966075255,0.5654533610908122
0.0007791584744594822,0.03524340799454443,0.5658596304876646
0.0008570743219054305,0.03498064187629522,0.5662642001019251
0.0009349901693513786,0.03471832547607732,0.5666670902846909
0.0010129060167973268,0.03445645668183575,0.5670683210037196
0.001090821864243275,0.03419503340429615,0.5674679118533579
0.0011687377116892234,0.03393405357656049,0.567865882064142
0.0012466535591351715,0.033673515153712925,0.5682622505120867
0.0013245694065811197,0.03341341611243543,0.5686570357276718
0.001402485254027068,0.0331537544506329,0.5690502559045404
0.0014804011014730163,0.032894528187067444,0.5694419289079193
0.0015583169489189644,0.03263573536100151,0.5698320722827718
0.0016362327963649127,0.03237737403184972,0.5702207032616938
0.001714148643810861,0.032119442278838915,0.5706078387725632
0.001792064491256809,0.0318619382006764,0.5709934954459505
0.0018699803387027573,0.03160485991522595,0.5713776896223021
0.0019478961861487056,0.031348205559191475,0.571760437358902
0.0020258120335946536,0.031091973287807984,0.5721417544366225
0.002103727881040602,0.030836161274539763,0.5725216563664696
0.00218164372848655,0.030580767710785453,0.5729001583959323
0.0022595595759324983,0.030325790805589854,0.5732772755151426
0.0023374754233784468,0.030071228785362305,0.5736530224628517
0.002415391270824395,0.029817079893601352,0.5740274137322303
0.002493307118270343,0.029563342390625604,0.5744004635765007
0.0025712229657162914,0.029310014553310573,0.5747721860144015
0.0026491388131622395,0.029057094674831318,0.5751425948354982
0.0027270546606081875,0.028804581064410726,0.5755117036053379
0.002804970508054136,0.02855247204707328,0.5758795256704587
0.002882886355500084,0.028300765963404185,0.5762460741632563
0.0029608022029460326,0.028049461169313637,0.5766113620067131
0.0030387180503919807,0.02779855603580616,0.5769754019189951
0.0031166338978379287,0.02754804894875483,0.5773382064179206
0.0031945497452838772,0.027297938308680273,0.5776997878253046
0.0032724655927298253,0.027048222530534304,0.5780601582711847
0.0033503814401757734,0.026798900043488047,0.5784193296979301
0.003428297287621722,0.026549969290724496,0.5787773138642393
0.00350621313506767,0.0263014287292353,0.5791341223490303
0.003584128982513618,0.02605327682962174,0.5794897665552252
0.0036620448299595665,0.025805512075899744,0.5798442577134342
0.0037399606774055146,0.02555813296530885,0.5801976068855413
0.0038178765248514626,0.025311138008124998,0.5805498249681961
0.003895792372297411,0.025064525727477072,0.5809009226962126
0.003973708219743359,0.024818294659167094,0.5812509106458804
0.004051624067189307,0.024572443351493962,0.5815997992381892
0.004129539914635255,0.02432697036508064,0.5819475987419697
0.004207455762081204,0.02408187427270474,0.5822943192769553
0.004285371609527152,0.023837153659132384,0.582639970816764
0.0043632874569731,0.02359280712095526,0.5829845631918052
0.0044412033044190485,0.02334883326643083,0.583328106092113
0.0045191191518649965,0.023105230715325567,0.5836706090701089
0.0045970349993109455,0.022861998098761167,0.5840120815432941
0.0046749508467568935,0.02261913405906367,0.5843525327968764
0.004752866694202842,0.022376637249615423,0.5846919719863315
0.00483078254164879,0.02213450633470976,0.5850304081399007
0.004908698389094738,0.021892739989408445,0.5853678501610292
0.004986614236540686,0.021651336899401675,0.5857043068307431
0.005064530083986635,0.021410295760870713,0.5860397868099706
0.005142445931432583,0.021169615280352983,0.5863742986418057
0.005220361778878531,0.020929294174609644,0.5867078507537197
0.005298277626324479,0.02068933117049553,0.587040451459718
0.005376193473770427,0.020449725004831457,0.5873721089624471
0.005454109321216375,0.020210474424278778,0.5877028313552515
0.005532025168662324,0.019971578185216176,0.5880326266241824
0.005609941016108272,0.019733035053618668,0.5883615026499595
0.00568785686355422,0.01949484380493867,0.588689467209887
0.005765772711000168,0.019257003223989218,0.589016527979726
0.005843688558446116,0.019019512104829155,0.5893426925355235
0.005921604405892065,0.018782369250650348,0.589667968355399
0.005999520253338013,0.018545573473666838,0.5899923628212916
0.006077436100783961,0.018309123595005868,0.5903158832206664
0.006155351948229909,0.018073018444600804,0.5906385367481836
0.0062332677956758575,0.01783725686108584,0.5909603305073289
0.0063111836431218055,0.0176018376916925,0.5912812715120083
0.0063890994905677545,0.017366759792147864,0.5916013666881078
0.0064670153380137025,0.01713202202657451,0.5919206228750178
0.006544931185459651,0.016897623267392112,0.5922390468271241
0.006622847032905599,0.01666356239522065,0.5925566452152671
0.006700762880351547,0.01642983829878525,0.592873424628168
0.006778678727797496,0.016196449874822536,0.5931893915738256
0.006856594575243444,0.015963396027988554,0.5935045524808806
0.006934510422689392,0.01573067567076816,0.5938189136999535
0.00701242627013534,0.015498287723385875,0.5941324815049518
0.007090342117581288,0.015266231113718191,0.5944452620943497
0.007168257965027236,0.015034504777207249,0.5947572615924416
0.007246173812473185,0.01480310765677592,0.5950684860505683
0.007324089659919133,0.014572038702744214,0.5953789414483177
0.007402005507365081,0.014341296872747007,0.5956886336947006
0.007479921354811029,0.014110881131653067,0.5959975686293016
0.007557837202256977,0.013880790451485343,0.5963057520234071
0.007635753049702925,0.013651023811342483,0.5966131895811084
0.007713668897148874,0.013421580197321582,0.5969198869403842
0.007791584744594822,0.013192458602442107,0.5972258496741594
0.00786950059204077,0.012963658026570997,0.5975310832913426
0.007947416439486718,0.0127351774763489,0.597835593237844
