x,varpi,defect,choi_trace_distance,ratio
0.0001,1.0,3.255506700303048075218e-23,9.654372283143969520274e-23,0.337205424115143455
0.00010523363296222022,1.0,4.201394814789816141824e-23,1.245938536947549771356e-22,0.337207228944286367
0.0001107411750642727,1.0,5.422112268299365726632e-23,1.607937571847007577428e-22,0.337209128217029445
0.00011653696170518647,1.0,6.997511662043743009261e-23,2.075112920175093428451e-22,0.337211126874642971
0.00012263607854615907,1.0,9.030647217124486648411e-23,2.678022808890253907698e-22,0.337213230116837477
0.00012905440077652511,1.0,1.165451619740766007866e-22,3.456103931472510851539e-22,0.337215443415271545
0.00013580863443476098,1.0,1.504075913102435615045e-22,4.460251017696875618704e-22,0.337217772527764612
0.0001429163598920798,1.0,1.941088799016725478972e-22,5.756145876406632450818e-22,0.33722022351325149
0.00015039607761179697,1.0,2.505077686998939214019e-22,7.428553664191331412998e-22,0.337222802747517164
0.00015826725630357428,1.0,3.232936314449265879102e-22,9.586867398966285535199e-22,0.337225516939752476
0.00016655038359787952,1.0,4.172278253462794661648e-22,1.237226338487030258433e-21,0.337228373149973343
0.00017526701937256237,1.0,5.384551702368735503189e-22,1.596693558414322621617e-21,0.33723137880734843
0.00018443985187034567,1.0,6.9490593356907121286e-22,2.060601295482062625294e-21,0.337234541729482435
0.00019409275675330204,1.0,8.968146198469298659588e-22,2.659293926472244248334e-21,0.337237870142704647
0.00020425085924802476,1.0,1.157389504941459633094e-21,3.431932137102642457726e-21,0.337241372703414954
0.0002149405995432474,1.0,1.493676718224346186568e-21,4.42905442344194893733e-21,0.33724505852054216
0.00022618980161013657,1.0,1.927675403895140096277e-21,5.715882813504648789967e-21,0.337248937179172331
0.00023802774562438494,1.0,2.487776920117767982827e-21,7.376589034621090352009e-21,0.337253018765407799
0.00025048524417861244,1.0,3.210622235515023708294e-21,9.519800174113365492347e-21,0.337257313892520615
0.00026359472248344213,1.0,4.143499044467316733525e-21,1.228570395487822949638e-20,0.337261833728467477
0.00027739030276600815,1.0,5.347435435972865789842e-21,1.585521837659364952848e-20,0.337266590024836605
0.00029190789308557245,1.0,6.901192526349369642653e-21,2.046182550100410798408e-20,0.337271595147300642
0.0003071852807974215,1.0,8.906417286183226969319e-21,2.640684341797641496482e-20,0.337276862107653433
0.0003232622309083241,1.0,1.149429270584475968011e-20,3.407913531558571916012e-20,0.337282404597512509
0.0003401805895795502,1.0,1.483412041949339215271e-20,4.398054480164936794175e-20,0.337288237023773288
0.0003579843930468606,1.0,1.914439735661354947e-20,5.675872116867463879473e-20,0.337294374545905336
0.00037671998224096513,1.0,2.470711118815860181953e-20,7.324948165699107706339e-20,0.337300833115185679
0.00039643612340679803,1.0,3.188618996206397259662e-20,9.453148156719772061175e-20,0.337307629515968908
0.00041718413503556424,1.0,4.115131316541959441935e-20,1.21996768103413905961e-19,0.337314781409098931
0.0004390180214399388,1.0,5.310864230010392174667e-20,1.574418327473914180866e-19,0.337322307377572462
0.0004619946133201065,1.0,6.85404818790561125583e-20,2.031851177221160309855e-19,0.337330226974569933
0.0004861737156865089,1.0,8.84564661806382728053e-20,2.62218662395687885286e-19,0.337338560773975313
0.0005116182635243288,1.0,1.141596213935577224479e-19,3.38403808473123259573e-19,0.337347330423512415
0.0005383944856048768,1.0,1.47331626319921075692e-19,4.367237645753386365532e-19,0.337356558700631672
0.000566572076870269,1.0,1.901428513082577874489e-19,5.636095497925264785366e-19,0.337366269571288058
0.0005962243798400871,1.0,2.453943768176440186888e-19,7.273606352631345713989e-19,0.337376488251757811
0.000627428575512191,1.0,3.167012861379050628866e-19,9.386877966764430543054e-19,0.337387241273648994
0.0006602658842545858,1.0,4.087292283456451904669e-19,1.211413683929991309031e-18,0.337398556552268582
0.0006948217772112279,1.0,5.274997344398249272476e-19,1.563376929787119085814e-18,0.337410463458516799
0.0007311861987720391,1.0,6.807842700799187037323e-19,2.017598931951859974186e-18,0.33742299289448784
0.0007694538006861775,1.0,8.78612817132887745994e-19,2.603789623190774817106e-18,0.337436177372964905
0.0008097241884279447,1.0,1.133930273698854469267e-18,3.360290715615991535195e-18,0.337450051101006627
0.0008521021804565798,1.0,1.463443639413314728612e-18,4.336583518063765576019e-18,0.337464650067831601
0.0008966980810447525,1.0,1.888715443377301750012e-18,5.596525350986888462766e-18,0.337480012137217715
0.0009436279673859069,1.0,2.437574994112138052276e-18,7.222526236400737076691e-18,0.337496177144643441
0.0009930139917277434,1.0,3.145939840451213922021e-18,9.32093903772927598977e-18,0.337513186999409152
0.0010449846993182653,1.0,4.060166692368186947798e-18,1.202901558782756911721e-17,0.337531085791987896
0.0010996753629919438,1.0,5.240085720961375703494e-18,1.552388376334724931468e-17,0.337549919906866912
0.0011572283352669038,1.0,6.762916908537850807708e-18,2.003413263812754215464e-17,0.337569738141153483
0.0012177934188695849,1.0,8.728324885046979212279e-18,2.585476342143490740938e-17,0.337590591829231597
0.0012815282566512921,1.0,1.126494325104052071385e-17,3.336648401374004288857e-17,0.337612534973769187
0.00134859874191156,1.0,1.453879563608160815233e-17,4.306060908896454990714e-17,0.337635624383389626
0.0014191794501963307,1.0,1.876416498288547624174e-17,5.557119421528133847782e-17,0.33765991981733552
0.00149345409369486,1.0,2.421762292459660590139e-17,7.17165056308369374788e-17,0.337685484137467787
0.0015716159994181014,1.0,3.125613814816847530187e-17,9.255253783471046286657e-17,0.337712383467958478
0.0016538686124031722,1.0,4.034044988276140350441e-17,1.194420790628573101303e-16,0.33774068736305178
0.0017404260252537188,1.0,5.206523764025014215245e-17,1.541438415174974225596e-16,0.337770468983284224
0.0018315135353944565,1.0,6.719806368698903276452e-17,1.989274853968750022981e-16,0.337801805280572167
