varpi,ratio_at_x_1e-2
0.9,0.09321216967823172
0.9198257080610022,0.1450800549455611
0.9396514161220044,0.1957926506139003
0.9594771241830066,0.24508817338571404
0.9793028322440087,0.2927537161188697
0.9991285403050109,0.3386224089478092
1.018954248366013,0.382569578382517
1.0387799564270153,0.4245083342579247
1.0586056644880175,0.4643849250468989
1.0784313725490196,0.5021741158644882
1.0982570806100218,0.5378747674321065
1.1180827886710238,0.5715057313265264
1.137908496732026,0.6031021274005175
1.1577342047930284,0.6327120322230512
1.1775599128540306,0.6603935809308664
1.1973856209150326,0.6862124669921881
1.217211328976035,0.7102398131333766
1.237037037037037,0.7325503803857194
1.2568627450980392,0.7532210794795422
1.2766884531590414,0.7723297485425064
1.2965141612200435,0.7899541624036266
1.3163398692810457,0.8061712411371218
1.3361655773420478,0.8210564283490965
1.35599128540305,0.8346832128000111
1.3758169934640523,0.8471227700549758
1.3956427015250545,0.8584437038263845
1.4154684095860566,0.8687118694384555
1.4352941176470588,0.8779902643586494
1.4551198257080609,0.8863389729907807
1.4749455337690631,0.893815154910381
1.4947712418300654,0.9004730674567976
1.5145969498910676,0.9063641150971986
1.5344226579520697,0.9115369192668218
1.5542483660130717,0.916037403490149
1.574074074074074,0.9199088895215922
1.5938997821350762,0.9231922010328981
1.6137254901960785,0.9259257720373273
1.6335511982570805,0.928145757795372
1.6533769063180828,0.9298861464090268
1.6732026143790848,0.9311788696952364
1.693028322440087,0.9320539122461454
1.7128540305010893,0.9325394178445872
1.7326797385620916,0.9326617926168245
1.7525054466230936,0.9324458044785627
1.7723311546840956,0.9319146785712089
1.792156862745098,0.9310901884987922
1.8119825708061001,0.929992743266561
1.8318082788671024,0.9286414698939736
1.8516339869281047,0.9270542917309217
1.8714596949891067,0.9252480025493315
1.8912854030501087,0.92323833651511
1.911111111111111,0.9210400341696803
1.9309368191721132,0.9186669045676797
1.9507625272331155,0.9161318837291299
1.9705882352941178,0.9134470895716346
1.9904139433551196,0.9106238734918275
2.010239651416122,0.907672868766146
2.030065359477124,0.9046040359396583
2.0498910675381263,0.901426705368635
2.0697167755991286,0.8981496170782471
2.0895424836601304,0.8947809580915228
2.1093681917211327,0.891328397379785
2.129193899782135,0.8877991185784386
2.149019607843137,0.8841998506053522
2.1688453159041394,0.8805368963123276
2.1886710239651417,0.8768161592933861
2.2084967320261435,0.8730431689668938
2.2283224400871458,0.8692231040419804
2.248148148148148,0.8653608144733187
2.2679738562091503,0.8614608420021577
2.2877995642701525,0.857527439375575
2.3076252723311543,0.8535645883302422
2.3274509803921566,0.849576016421591
2.347276688453159,0.8455652127741439
2.367102396514161,0.8415354428239042
2.3869281045751634,0.8374897621191197
2.4067538126361656,0.8334310292414011
2.4265795206971674,0.8293619179051067
2.4464052287581697,0.8252849282890787
2.466230936819172,0.8212023976512264
