varpi,root1,root2,root3
0.0,10.982425466293272,nan,nan
0.005,10.981308226075017,nan,nan
0.01,10.977957840831861,nan,nan
0.015,10.972378312792738,nan,nan
0.02,10.964576299009009,nan,nan
0.025,10.954561091436798,nan,nan
0.03,10.942344589208517,nan,nan
0.035,10.92794126324669,nan,nan
0.04,10.911368113416017,nan,nan
0.045,10.892644618449323,nan,nan
0.05,10.871792678920055,nan,nan
0.055,10.848836553570806,nan,nan
0.06,10.823802789338735,nan,nan
0.065,10.79672014544976,nan,nan
0.07,10.767619511979074,nan,nan
0.075,10.73653382329996,nan,nan
0.08,10.703497966862491,nan,nan
0.085,10.668548687759683,nan,nan
0.09,10.631724489552472,nan,nan
0.095,10.593065531833592,nan,nan
0.1,10.55261352501659,nan,nan
0.105,10.510411622837353,nan,nan
0.11,10.466504313056223,nan,nan
0.115,10.420937306842411,nan,nan
0.12,10.373757427315757,nan,nan
0.125,10.325012497710091,nan,nan
0.13,10.274751229609246,nan,nan
0.135,10.22302311169041,nan,nan
0.14,10.169878299392328,nan,nan
0.145,10.115367505904432,nan,nan
0.15,10.059541894852083,nan,nan
0.155,10.002452975029342,nan,nan
0.16,9.944152497505648,nan,nan
0.165,9.884692355407596,nan,nan
0.17,9.82412448665011,nan,nan
0.17500000000000002,9.76250077986518,nan,nan
0.18,9.699872983748397,nan,nan
0.185,9.63629262001684,nan,nan
0.19,9.571810900145165,nan,nan
0.195,9.506478646019833,nan,nan
0.2,9.440346214625627,nan,nan
0.20500000000000002,9.37346342685399,nan,nan
0.21,9.305879500497332,nan,nan
0.215,9.237642987471615,nan,nan
0.22,9.168801715286289,nan,nan
0.225,9.099402732760485,nan,nan
0.23,9.029492259964183,nan,nan
0.23500000000000001,8.959115642345505,nan,nan
0.24,8.888317308988304,nan,nan
0.245,8.817140734927687,nan,nan
0.25,8.74562840743918,nan,nan
0.255,8.673821796202759,nan,nan
0.26,8.601761327232431,nan,nan
0.265,8.5294863604528,nan,nan
0.27,8.45703517079469,nan,nan
0.275,8.384444932674942,nan,nan
0.28,8.311751707720182,nan,nan
0.28500000000000003,8.238990435588518,nan,nan
0.29,8.166194927740664,nan,nan
0.295,8.093397864008313,nan,nan
0.3,8.02063079180674,nan,nan
0.305,7.947924127837574,nan,nan
0.31,7.875307162128269,nan,nan
0.315,7.8028080642549416,nan,nan
0.32,7.730453891597925,nan,nan
0.325,7.658270599480698,nan,nan
0.33,7.586283053046536,nan,nan
0.335,7.514515040729839,nan,nan
0.34,7.4429892891835445,nan,nan
0.34500000000000003,7.3717274795276015,nan,nan
0.35000000000000003,7.300750264788282,nan,nan
0.355,7.230077288402862,nan,nan
0.36,7.159727203668928,nan,nan
0.365,7.089717694022659,nan,nan
0.37,7.02006549403604,nan,nan
0.375,6.950786411027651,nan,nan
0.38,6.881895347187497,nan,nan
0.385,6.813406322121313,nan,nan
0.39,6.745332495725353,nan,nan
