scenario,scenario_role,tolerance,policy,controller_policy,theta,kappa,varpi,final_time,initial_h,global_normalized_choi_error,minimum_step_choi_eigenvalue,wall_time_seconds,accepted_steps,direct_accepts,projected_accepts,rotating_accepts,strang_accepts,exact_fallback_accepts,rejected_error,rejected_cp,guard_evaluations,locator_calls,successful_projections,empty_component_outcomes,uncertain_outcomes,root_isolation_ops,certification_ops,binary_recertifications,precision_escalations,fallback_events,pi_memory_resets,rhs_stage_evaluations,exponential_actions,candidate_certifications,component_searches,fallback_steps
buffered_projection,buffered disconnected case with direct retention and projection,0.001,guard_buffered_projection,candidate_guard,0.0,0.001,2.0,2.0,0.3,0.0002853084392581392,-3.226812582174579e-30,1.5548751000005723,5,3,2,0,0,0,0,2,5,2,2,0,0,6,25,2,0,0,0,84,0,25,2,0
buffered_direct,buffered case dominated by direct accepted candidates,0.0003,guard_buffered_direct,candidate_guard,0.0,0.001,2.0,2.0,0.3,0.00024668352978356493,-1.1102230246263322e-16,0.5192444999993313,5,5,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,60,0,15,0,0
near_saddle_projection,near-saddle case exercising component location and projection,0.001,guard_near_saddle,candidate_guard,0.0,0.001,1.65,1.0,1.0,0.00021027592790007218,-1.484084374338407e-29,0.9193139999988489,2,1,1,0,0,0,1,1,2,1,1,0,0,3,14,1,0,0,0,48,0,14,1,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,7.45395262105539e-06,-1.1102230250602865e-16,1.4794085999983508,4,0,0,4,0,0,3,4,4,4,0,4,0,12,33,0,0,4,2,132,0,33,4,4
