x,M_ext_over_x6
0.015,-0.0002230848006635594
0.01808152787919911,-0.00022284678374850762
0.02116305575839822,-0.0002226090660011027
0.02424458363759733,-0.00022237164700910668
0.02732611151679644,-0.00022213452636072538
0.03040763939599555,-0.00022189770364460827
0.03348916727519466,-0.00022166117844984743
0.03657069515439377,-0.0002214249503659777
0.03965222303359288,-0.00022118901898297548
0.04273375091279199,-0.00022095338389125884
0.0458152787919911,-0.00022071804468168664
0.04889680667119021,-0.0002204830009455581
0.05197833455038932,-0.00022024825227461248
0.05505986242958843,-0.00022001379826102832
0.05814139030878754,-0.00021977963849742298
0.06122291818798665,-0.00021954577257685245
0.06430444606718576,-0.0002193122000928104
0.06738597394638488,-0.00021907892063922796
0.07046750182558398,-0.00021884593381047318
0.07354902970478308,-0.00021861323920135053
0.0766305575839822,-0.00021838083640710027
0.0797120854631813,-0.00021814872502339818
0.08279361334238042,-0.00021791690464635492
0.08587514122157953,-0.0002176853748725155
0.08895666910077864,-0.00021745413529885893
0.09203819697997774,-0.0002172231855227976
0.09511972485917686,-0.0002169925251421768
0.09820125273837597,-0.0002167621537552743
0.10128278061757508,-0.0002165320709607998
0.10436430849677418,-0.00021630227635789444
0.1074458363759733,-0.00021607276954613037
0.11052736425517241,-0.00021584355012551007
0.11360889213437152,-0.00021561461769646612
0.11669042001357062,-0.00021538597185986056
0.11977194789276974,-0.0002151576122169844
0.12285347577196885,-0.0002149295383695572
0.12593500365116794,-0.00021470174991972642
0.12901653153036707,-0.00021447424647006724
0.13209805940956618,-0.00021424702762358168
0.13517958728876528,-0.0002140200929836985
0.1382611151679644,-0.00021379344215427236
0.14134264304716349,-0.00021356707473958367
0.14442417092636262,-0.00021334099034433777
0.14750569880556175,-0.0002131151885736648
0.15058722668476082,-0.00021288966903311882
0.15366875456395995,-0.0002126644313286777
0.15675028244315908,-0.00021243947506674246
0.15983181032235816,-0.0002122147998541367
0.1629133382015573,-0.0002119904052981063
0.16599486608075636,-0.0002117662910063189
0.1690763939599555,-0.0002115424565868632
0.17215792183915463,-0.00021131890164824885
0.1752394497183537,-0.0002110956257994057
0.17832097759755283,-0.00021087262864968336
0.18140250547675196,-0.00021064990980885082
0.18448403335595104,-0.00021042746888709594
0.18756556123515017,-0.00021020530549502485
0.19064708911434924,-0.00020998341924366164
0.19372861699354837,-0.0002097618097444478
0.1968101448727475,-0.00020954047660924169
0.19989167275194658,-0.00020931941945031828
0.2029732006311457,-0.00020909863788036833
