x,varpi,negative_born_probability_magnitude,normalized_choi_trace_distance,fraction_of_error
0.1,1,3.52575283463288676e-8,9.55225588607318613e-8,0.369101589895
0.01,1,3.28477570902392555e-13,9.64421937886283362e-13,0.340595291333
0.001,1,3.25818956086100166e-18,9.65344898953039031e-18,0.337515593069
0.1,2,1.31708581708587829e-6,1.55871771505604614e-6,0.84498033503
0.01,2,1.42853010287993988e-11,1.57117324523757053e-11,0.90921234002
0.001,2,1.43779457208806354e-16,1.57237358091612363e-16,0.914410283624
0.1,5,0.0000106833898950251426,0.000132078942844297599,0.0808863976722
0.01,5,5.87911817572656955e-10,1.33394330917224657e-9,0.440732236168
0.001,5,6.32881349246307502e-15,1.33497671548685164e-14,0.47407669505
