method,N,h,global_normalized_choi_error,minimum_step_choi_eigenvalue,rhs_stage_evaluations,exponential_actions,wall_time_seconds
direct_RK4,1,1.0,0.1406762781688718,0.0006255150473437229,4,0,0.00020190000032016542
CPTP_Strang,1,1.0,0.002802062305564376,0.0006321205588285677,0,3,0.0355520000011893
direct_RK4,2,0.5,0.007310690030068923,-0.002777776589095565,8,0,2.4499999199179e-05
CPTP_Strang,2,0.5,0.0006498824510754746,0.0003934693402874644,0,6,0.03238020000026154
direct_RK4,4,0.25,0.0004130999827116398,4.269995544343409e-05,16,0,2.719999974942766e-05
CPTP_Strang,4,0.25,0.00015947596230333274,0.00022119921692853839,0,12,0.030988000000434113
direct_RK4,8,0.125,2.452644517173095e-05,0.0001171830920660855,32,0,2.7100000806967728e-05
CPTP_Strang,8,0.125,3.968448455546067e-05,0.00011750309741552061,0,24,0.031062100000781356
direct_RK4,16,0.0625,1.4936485876922937e-06,6.058657171972825e-05,64,0,2.8500000553322025e-05
CPTP_Strang,16,0.0625,9.909631028714577e-06,6.058693718660172e-05,0,48,0.033861800000522635
direct_RK4,32,0.03125,9.214152985595079e-08,3.0766755282738665e-05,128,0,2.8899999961140566e-05
CPTP_Strang,32,0.03125,2.4766902737724603e-06,3.076676552366902e-05,0,96,0.029733699999269447
