delta_varpi,window_width
1e-12,1.0940848376161938e-06
1.2134827677491431e-12,1.206229268913006e-06
1.4725404276241208e-12,1.3275239485466273e-06
1.786902433735825e-12,1.4635012015595805e-06
2.1683753109874375e-12,1.6119489294474931e-06
2.6312860738959445e-12,1.7761341748467885e-06
3.193020307691027e-12,1.955996692171169e-06
3.874675120456128e-12,2.1547264734689264e-06
4.701851489299847e-12,2.373816260226036e-06
5.705615758781032e-12,2.614880403761788e-06
6.9236664026787344e-12,2.88068807141606e-06
8.401749869294343e-12,3.1733547452006405e-06
1.0195378685327301e-11,3.4960379855508705e-06
1.2371916345321594e-11,3.851297178503188e-06
1.5013107289081712e-11,4.241976266694536e-06
1.8218146985669783e-11,4.673186278392194e-06
2.2107407427431278e-11,5.1477025657664655e-06
2.6826957952797272e-11,5.670690808701195e-06
3.255405118685032e-11,6.247005962745078e-06
3.9503780135666406e-11,6.881142290415809e-06
4.793715645558228e-11,7.580358263759024e-06
5.8170913293743695e-11,8.350451810246184e-06
7.058940086618752e-11,9.198655023245905e-06
8.565902153685499e-11,1.0133069752837898e-05
1.0394574653722627e-10,1.1162469605086045e-05
1.2613637220374424e-10,1.2296237537290367e-05
1.5306431405563563e-10,1.3545299656136933e-05
1.8574090746385756e-10,1.4921384428046025e-05
2.2539339047347933e-10,1.6437113066203324e-05
2.735109953041211e-10,1.8106755423685783e-05
3.319008795914677e-10,1.9946111407875833e-05
4.027559979850293e-10,2.197226313804812e-05
4.887374631624437e-10,2.4204253150417188e-05
5.930744895010571e-10,2.6663058314779775e-05
7.196856730011529e-10,2.9371490992469163e-05
8.733261623828438e-10,3.235510922738882e-05
1.0597662486760707e-09,3.564182437232333e-05
1.286008080610565e-09,3.926234435436271e-05
1.5605486450070716e-09,4.32506974303859e-05
1.893698888950364e-09,4.764419936109654e-05
2.297970969046965e-09,5.248398443180591e-05
2.7885481717262918e-09,5.781540257254747e-05
3.383855153428233e-09,6.368842786486084e-05
4.10624991724431e-09,7.015803767740358e-05
4.982863514647316e-09,7.7284793939425e-05
6.046619009070448e-09,8.513552817235315e-05
7.337467970651388e-09,9.378378130553422e-05
8.903890941296735e-09,0.00010331050420275822
1.0804718223181286e-08,0.00011380497267610146
1.3111339374215657e-08,0.00012536552176278803
1.5910384392721534e-08,0.00013810038409922676
1.9306977288832535e-08,0.0001521289007109239
2.3428684237322352e-08,0.000167582450559145
2.843030459302665e-08,0.0001846057845460436
3.4499684705497226e-08,0.0002033584025555868
4.1864772882899556e-08,0.00022401595026066978
5.080218046913023e-08,0.00024677190861943643
6.164757056337174e-08,0.00027183948106035416
7.480826455225093e-08,0.00029945346530624306
9.077853991937557e-08,0.00032987252704752557
1.1015819387359018e-07,0.00036338161230853316
1.3367506999197092e-07,0.0004002946148335962
1.6221239391291728e-07,0.0004409573070245365
1.9684194472866154e-07,0.0004857505952433616
2.3886430789846004e-07,0.0005350940683683802
2.898577214651068e-07,0.0005894499382892437
3.5173735009693876e-07,0.0006493273808809708
4.2682721311638256e-07,0.0007152872819282674
5.179474679231213e-07,0.0007879475043388595
6.28520326924011e-07,0.0008679886733802267
7.626985859023451e-07,0.0009561605619916591
9.255215909791354e-07,0.0010532890952665852
1.1231045018329538e-06,0.001160284092643904
1.3628679593557755e-06,0.0012781477999130875
1.6538167833956732e-06,0.0014079842618692773
2.0068781676649707e-06,0.0015510096752944236
2.4353120734334173e-06,0.0017085637642768603
2.955209235202888e-06,0.0018821223430522949
3.586095482011836e-06,0.0020733111226969303
4.35166507092442e-06,0.002283920940082451
5.280670574582648e-06,0.0025159245254702256
6.408002744416009e-06,0.0027714949684345402
7.776000906038043e-06,0.003053026064445463
9.43604310147891e-06,0.0033631547126047323
1.1450475699382836e-05,0.0037047855977370148
1.3894954943731388e-05,0.004081118364365421
1.6861288382868838e-05,0.004495677540895748
2.0460882894660153e-05,0.004952345499976252
2.48289288056033e-05,0.005455398741805784
3.0129477247269982e-05,0.006009547849224139
3.6561601440852014e-05,0.006619981467630431
4.4366873309786156e-05,0.0072924147205379874
5.3838436220335e-05,0.008033142487412048
6.533201459593784e-05,0.008849098026531665
7.927927389450606e-05,0.009747917468574396
9.620403271064779e-05,0.010738010731135672
0.00011674193588234575,0.011828639484868342
0.0001416643274669025,0.013030002816188047
0.0001719072201858578,0.014353331308566197
0.0002086064493471961,0.01581099029294375
0.000253140331524157,0.017416593071608144
0.0003071814301268696,0.019185124956452082
0.0003727593720314953,0.021133078985356546
0.0004523370744772115,0.02327860419786587
0.0005489032450921569,0.02564166732895523
0.0006660846290809168,0.028244228735184285
0.0008082822192522723,0.031110433260743697
0.000980836544540667,0.03426681657744002
0.0011902282447787192,0.037742527259165826
0.0014443214647272848,0.04156956443684279
0.001752659208536762,0.045783030282918746
0.0021268217472962124,0.05042139571855553
0.002580861540418077,0.055526776542673906
0.0031318310052438447,0.06114521552474117
0.0038004229563658974,0.06732696373269254
0.0046117477677082705,0.07412675127903157
0.005596276445319564,0.0816040334959649
0.0067909850299557204,0.08982319295296581
0.008240743309893666,0.09885367026483105
0.01,0.10876998674978178
