scenario,scenario_role,tolerance,policy,controller_policy,theta,kappa,varpi,final_time,initial_h,global_normalized_choi_error,minimum_step_choi_eigenvalue,wall_time_seconds,accepted_steps,direct_accepts,projected_accepts,rotating_accepts,strang_accepts,exact_fallback_accepts,rejected_error,rejected_cp,guard_evaluations,candidate_certifications,component_searches,fallback_steps,precision_escalations,pi_memory_resets,rhs_stage_evaluations,exponential_actions
boundary_tolerance_sweep,boundary safety/fallback comparison,0.01,error_only,error_only,0.0,0.0,2.0,2.0,1.4,0.004327611992433297,-0.0034913536821074877,0.3901233560000037,3,0,0,0,0,0,2,0,0,0,0,0,0,0,60,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.01,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,6.091722947231542e-05,-3.7106479125533523e-25,0.9081022939999457,3,0,0,3,0,0,1,3,3,3,0,3,0,1,84,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.01,rotating_frame,rotating_frame,0.0,0.0,2.0,2.0,1.4,0.00034661010309685605,0.0,0.07523855199997342,2,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.01,strang,strang,0.0,0.0,2.0,2.0,1.4,8.326672684688674e-17,-6.501617097462554e-17,0.2384603499995137,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18
boundary_tolerance_sweep,boundary safety/fallback comparison,0.003,error_only,error_only,0.0,0.0,2.0,2.0,1.4,0.0016440166243959025,-0.0013738774796713147,0.39368873100011115,3,0,0,0,0,0,2,0,0,0,0,0,0,0,60,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.003,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,1.9018391371184816e-05,0.0,0.93285119400025,3,0,0,3,0,0,1,3,3,3,0,3,0,1,84,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.003,rotating_frame,rotating_frame,0.0,0.0,2.0,2.0,1.4,0.00034661010309685605,0.0,0.0758279270003186,2,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.003,strang,strang,0.0,0.0,2.0,2.0,1.4,8.326672684688674e-17,-6.501617097462554e-17,0.31791850500030705,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,error_only,error_only,0.0,0.0,2.0,2.0,1.4,0.0007916873687284027,-0.0010013590925761484,0.8923420539995277,4,0,0,0,0,0,2,0,0,0,0,0,0,0,72,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,7.453952621055388e-06,-1.1102230250602865e-16,1.8380663580001055,4,0,0,4,0,0,3,4,4,4,0,4,0,2,132,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,rotating_frame,rotating_frame,0.0,0.0,2.0,2.0,1.4,0.00012689042260567086,-8.481533182316791e-30,0.10878047200003493,2,0,0,2,0,0,1,0,0,0,0,0,0,0,36,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.001,strang,strang,0.0,0.0,2.0,2.0,1.4,8.326672684688674e-17,-6.501617097462554e-17,0.23620998000023974,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18
boundary_tolerance_sweep,boundary safety/fallback comparison,0.0003,error_only,error_only,0.0,0.0,2.0,2.0,1.4,0.0002358569229669584,-0.00026370286501248286,0.7516222969998125,5,0,0,0,0,0,3,0,0,0,0,0,0,0,96,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.0003,guard_rotating_fallback,candidate_guard,0.0,0.0,2.0,2.0,1.4,2.2182298373491274e-06,-3.562653249242374e-27,1.8621194659999674,5,0,0,5,0,0,4,5,5,5,0,5,0,2,168,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.0003,rotating_frame,rotating_frame,0.0,0.0,2.0,2.0,1.4,6.019302489924499e-05,-2.3167910730292682e-29,0.14638233299956482,3,0,0,3,0,0,2,0,0,0,0,0,0,0,60,0
boundary_tolerance_sweep,boundary safety/fallback comparison,0.0003,strang,strang,0.0,0.0,2.0,2.0,1.4,8.326672684688674e-17,-6.501617097462554e-17,0.24287600699972245,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18
