method,N,lambda_minus_exact,lambda_minus_asymptotic
SSP3,3983,-1.55209052699531887991970891764e-13,-1.55175655239512571844574488214e-13
SSP3,4253,-1.27484059998431978120738225988e-13,-1.27458369640626805812610562562e-13
SSP3,4543,-1.04594352683950706284127354591e-13,-1.04574620373938137184424376053e-13
SSP3,4851,-8.59087540701132089303614928642e-14,-8.58935758388584573172239376171e-14
SSP3,5181,-7.05156607674667899947527600766e-14,-7.05039956413208797795391588324e-14
SSP3,5533,-5.78948289428003564167198176894e-14,-5.78858608760561142717847480195e-14
SSP3,5909,-4.75308449474824764907388821691e-14,-4.75239507550355485293935765824e-14
SSP3,6311,-3.90138627067625987140675587663e-14,-3.90085643081808510839967795187e-14
SSP3,6740,-3.20280168165831189889032183503e-14,-3.20239439904144691959495505041e-14
SSP3,7198,-2.62948499136051967109568275553e-14,-2.62917188901136546578881127013e-14
SSP3,7687,-2.15889882598455555741514558302e-14,-2.15865811022820036231751209352e-14
SSP3,8209,-1.77267486574494777488398274692e-14,-1.77248978149074558149088145200e-14
SSP3,8767,-1.45527124497816220218187490997e-14,-1.45512897114911207217822230757e-14
SSP3,9363,-1.19467340213755863368993593506e-14,-1.19456403984772342391467010185e-14
SSP3,10000,-9.80599646557607507790486840454e-15,-9.80515598744773877730148597525e-15
